Saison;Equipes;Classement;Nombre.de.points;Nombre.Victoires;Nombre.Defaites;LF.tentes;LF.reussis;Deux.points.tentes;Deux.points.reussis;Trois.pts.tentes;Trois.points.reussis;Rebonds.O;Rebonds.D;Contres.Pr;Contres.Ct;Pd;In;Bp;Fautes;Fautes.pr
2011_2012;Lyon;12;43;13;17;549;409;1249;654;522;175;285;718;67;66;492;223;398;528;585
2011_2012;Poitiers;13;39;9;21;550;384;1249;601;623;196;349;699;53;67;409;228;412;647;578
2011_2012;Le Havre;14;39;9;21;614;419;1342;642;552;204;363;747;52;104;450;189;421;539;600
2011_2012;Pau-Lacq-Orthez;15;37;7;23;583;419;1163;609;626;211;325;684;53;60;416;210;490;720;601
2011_2012;Hyeres-Toulon;16;33;3;27;488;360;1355;680;528;182;301;635;61;64;523;197;463;520;548
2012_2013;Gravelines-Dunkerque;1;51;21;9;618;420;1334;697;536;182;297;759;88;92;437;218;329;522;620
2012_2013;Strasbourg;2;48;18;12;537;423;1153;628;593;206;312;752;88;61;509;197;442;604;578
2012_2013;Lyon-Villeurbanne;3;48;18;12;548;425;1173;624;536;201;251;737;69;61;457;181;406;527;595
2012_2013;Chalon/Saone;4;48;18;12;508;386;1121;579;701;249;329;726;80;61;521;204;436;579;578
2012_2013;Roanne;5;47;17;13;554;409;1100;550;596;221;312;734;80;67;465;174;403;621;592
2012_2013;Le Mans;6;46;16;14;552;421;1211;625;548;177;313;660;71;66;438;204;414;603;599
2012_2013;Dijon;7;45;15;15;457;338;1237;639;491;160;261;611;41;89;410;263;373;669;560
2012_2013;Nanterre;8;45;15;15;481;353;1064;584;736;277;279;599;30;49;428;214;398;597;556
2012_2013;Orleans;9;45;15;15;545;394;1066;573;710;272;254;657;44;84;486;247;426;582;575
2012_2013;Cholet;10;45;15;15;501;358;1102;601;680;236;255;699;97;49;463;217;395;583;555
2012_2013;Le Havre;11;43;13;17;517;364;1209;671;550;199;291;745;81;48;506;205;463;615;574
2012_2013;Paris-Levallois;12;43;13;17;536;402;1357;689;549;190;307;635;67;75;514;235;341;527;547
2012_2013;Limoges;13;43;13;17;574;415;1326;648;442;149;353;724;73;80;432;194;472;705;609
2012_2013;Nancy;14;42;12;18;558;366;1313;656;585;190;356;702;75;89;450;229;422;544;559
2012_2013;Boulazac;15;41;11;19;520;356;1266;670;487;144;249;742;57;93;371;188;400;581;577
2012_2013;Poitiers;16;40;10;20;574;404;1100;557;601;205;303;729;90;66;371;157;476;555;647
